code,text,parentCode
11,北京市,86
12,天津市,86
13,河北省,86
14,山西省,86
15,内蒙古自治区,86
21,辽宁省,86
22,吉林省,86
23,黑龙江省,86
31,上海市,86
32,江苏省,86
33,浙江省,86
34,安徽省,86
35,福建省,86
36,江西省,86
37,山东省,86
41,河南省,86
42,湖北省,86
43,湖南省,86
44,广东省,86
45,广西壮族自治区,86
46,海南省,86
50,重庆市,86
51,四川省,86
52,贵州省,86
53,云南省,86
54,西藏自治区,86
61,陕西省,86
62,甘肃省,86
63,青海省,86
64,宁夏回族自治区,86
65,新疆维吾尔自治区,86
71,台湾,86
81,香港,86
82,澳门,86
110101,东城区,11
110102,西城区,11
110105,朝阳区,11
110106,丰台区,11
110107,石景山区,11
110108,海淀区,11
110109,门头沟区,11
110111,房山区,11
110112,通州区,11
110113,顺义区,11
110114,昌平区,11
110115,大兴区,11
110116,怀柔区,11
110117,平谷区,11
110118,密云区,11
110119,延庆区,11
120101,和平区,12
120102,河东区,12
120103,河西区,12
120104,南开区,12
120105,河北区,12
120106,红桥区,12
120110,东丽区,12
120111,西青区,12
120112,津南区,12
120113,北辰区,12
120114,武清区,12
120115,宝坻区,12
120116,滨海新区,12
120117,宁河区,12
120118,静海区,12
120119,蓟州区,12
1301,石家庄市,13
1302,唐山市,13
1303,秦皇岛市,13
1304,邯郸市,13
1305,邢台市,13
1306,保定市,13
1307,张家口市,13
1308,承德市,13
1309,沧州市,13
1310,廊坊市,13
1311,衡水市,13
1401,太原市,14
1402,大同市,14
1403,阳泉市,14
1404,长治市,14
1405,晋城市,14
1406,朔州市,14
1407,晋中市,14
1408,运城市,14
1409,忻州市,14
1410,临汾市,14
1411,吕梁市,14
1501,呼和浩特市,15
1502,包头市,15
1503,乌海市,15
1504,赤峰市,15
1505,通辽市,15
1506,鄂尔多斯市,15
1507,呼伦贝尔市,15
1508,巴彦淖尔市,15
1509,乌兰察布市,15
1522,兴安盟,15
1525,锡林郭勒盟,15
1529,阿拉善盟,15
2101,沈阳市,21
2102,大连市,21
2103,鞍山市,21
2104,抚顺市,21
2105,本溪市,21
2106,丹东市,21
2107,锦州市,21
2108,营口市,21
2109,阜新市,21
2110,辽阳市,21
2111,盘锦市,21
2112,铁岭市,21
2113,朝阳市,21
2114,葫芦岛市,21
2201,长春市,22
2202,吉林市,22
2203,四平市,22
2204,辽源市,22
2205,通化市,22
2206,白山市,22
2207,松原市,22
2208,白城市,22
2224,延边朝鲜族自治州,22
2301,哈尔滨市,23
2302,齐齐哈尔市,23
2303,鸡西市,23
2304,鹤岗市,23
2305,双鸭山市,23
2306,大庆市,23
2307,伊春市,23
2308,佳木斯市,23
2309,七台河市,23
2310,牡丹江市,23
2311,黑河市,23
2312,绥化市,23
2327,大兴安岭地区,23
310101,黄浦区,31
310104,徐汇区,31
310105,长宁区,31
310106,静安区,31
310107,普陀区,31
310109,虹口区,31
310110,杨浦区,31
310112,闵行区,31
310113,宝山区,31
310114,嘉定区,31
310115,浦东新区,31
310116,金山区,31
310117,松江区,31
310118,青浦区,31
310120,奉贤区,31
310151,崇明区,31
3201,南京市,32
3202,无锡市,32
3203,徐州市,32
3204,常州市,32
3205,苏州市,32
3206,南通市,32
3207,连云港市,32
3208,淮安市,32
3209,盐城市,32
3210,扬州市,32
3211,镇江市,32
3212,泰州市,32
3213,宿迁市,32
3301,杭州市,33
3302,宁波市,33
3303,温州市,33
3304,嘉兴市,33
3305,湖州市,33
3306,绍兴市,33
3307,金华市,33
3308,衢州市,33
3309,舟山市,33
3310,台州市,33
3311,丽水市,33
3401,合肥市,34
