code,text,parentCode
11,北京市,86
12,天津市,86
13,河北省,86
14,山西省,86
15,内蒙古自治区,86
21,辽宁省,86
22,吉林省,86
23,黑龙江省,86
31,上海市,86
32,江苏省,86
33,浙江省,86
34,安徽省,86
35,福建省,86
36,江西省,86
37,山东省,86
41,河南省,86
42,湖北省,86
43,湖南省,86
44,广东省,86
45,广西壮族自治区,86
46,海南省,86
50,重庆市,86
51,四川省,86
52,贵州省,86
53,云南省,86
54,西藏自治区,86
61,陕西省,86
62,甘肃省,86
63,青海省,86
64,宁夏回族自治区,86
65,新疆维吾尔自治区,86
71,台湾,86
81,香港,86
82,澳门,86
7101,台湾省,71
710101,金门,7101
710102,连江,7101
710103,苗栗,7101
710104,南投,7101
710105,澎湖,7101
710106,屏东,7101
710107,台东,7101
710108,台中,7101
710109,台南,7101
710110,台北,7101
710111,桃园,7101
710112,云林,7101
710113,新北,7101
710114,彰化,7101
710115,嘉义,7101
710116,新竹,7101
710117,花莲,7101
710118,宜兰,7101
710119,高雄,7101
710120,基隆,7101
8101,香港特别行政区,81
8201,澳门特别行政区,82
810101,中西区,8101
810102,东区,8101
810103,九龙城区,8101
810104,观塘区,8101
810105,深水埗区,8101
810106,湾仔区,8101
810107,黄大仙区,8101
810108,油尖旺区,8101
810109,离岛区,8101
810110,葵青区,8101
810111,北区,8101
810112,西贡区,8101
810113,沙田区,8101
810114,屯门区,8101
810115,大埔区,8101
810116,荃湾区,8101
810117,元朗区,8101
810118,香港,8101
810119,九龙,8101
810120,新界,8101
820101,离岛,8201
820102,澳门半岛,8201
820103,凼仔,8201
820104,路凼城,8201
820105,路环,8201
